ROI,Foreground Blur Score,Background blur score,Brightness Score,Noise score,Simplicity score,Contrast score,Area Ratio,Rule of third score,Potrait mode,Landscape Mode,Output
1,496.0011951,462.8448944,139.914254,0.652570674,34.47444687,48.43933739,0.925735429,0.03951637,0,1,0
1,550.1133106,511.0682108,95.89507338,0.65385404,89.32994584,61.73394046,0.46785248,0.021345673,0,1,1
1,778.4808068,1380.33612,118.2065711,4.184077613,23.61786637,42.04484229,0.298509115,0.013857037,1,0,0
1,1572.865248,869.381077,123.3781942,6.439316782,38.39856088,59.01792896,0.808921814,0.035595694,1,1,0
1,1662.143737,1599.187277,23.87833205,2.305534619,16.34175976,21.17173192,0.555094162,0.024613446,0,1,0
1,690.3867723,695.5810494,149.4252803,2.365383062,14.93335706,60.55130072,0.287369792,0.013089239,0,1,0
1,361.5887758,361.6103255,159.1901172,0.661381591,0,57.38746728,0.195793622,0.008495808,0,1,0
1,1532.917973,858.3356187,96.91902533,3.352939386,46.56539555,42.84015832,0.436994881,0.019056838,0,1,1
1,412.2890656,129.9619224,164.9346263,1.430212941,56.2871785,76.47325368,0.446543376,0.020032377,0,1,1
1,686.8592688,684.1358986,106.3007488,1.114845914,83.65826558,53.98622424,0.305227569,0.014729912,0,1,0
1,1039.068927,1157.065216,132.0117709,2.079402564,37.01143795,60.62895862,0.112137069,0.004968591,0,1,0
1,845.8640322,1172.341014,77.55124097,3.236026043,26.15857419,66.50582731,0.135832332,0.006338351,1,0,0
1,494.0513672,622.4044311,125.0711542,1.501298158,15.8446868,60.67070229,0.069583834,0.00324995,1,0,0
1,807.0087175,1572.385533,55.84166672,1.120660347,18.43934532,38.6672586,0.082764388,0.003620568,0,1,0
1,593.5780792,738.8831595,173.2402238,2.371776607,25.34570958,65.79766726,0.299813279,0.013568244,0,1,0
1,1297.58795,339.1426282,146.6245995,1.817859973,70.14152519,98.01970094,0.388852163,0.017426578,0,1,1
1,723.6430653,163.5533856,148.7899841,2.347513042,33.44222809,27.14035906,0.336784024,0.016510224,0,1,1
1,1731.087164,561.8729609,194.6041116,3.0755292,44.76224074,94.13506338,0.398460411,0.017265099,0,1,0
1,1050.656711,282.5688981,155.4973155,2.933948048,53.13821259,62.26484141,0.375137463,0.017736558,0,1,1
1,790.8571216,372.9246111,139.619211,1.764771073,36.60313582,55.49758982,0.363883341,0.015513118,0,1,1
1,2599.609859,6081.408024,110.9023242,10.99625201,27.88084504,67.86622912,0,0,1,0,0
1,1318.244174,1313.120495,110.4381179,0.403597663,18.79932674,78.28547956,0.575716146,0.026740786,1,0,0
1,489.9428248,2294.606349,105.7123351,2.087449459,40.70844921,61.87379617,0.71359375,0.030096129,1,0,0
1,453.0490855,319.1797789,187.9769566,0.928280571,27.50200754,69.87550593,0.399726219,0.0172653,0,1,0
1,814.9921078,92.80870126,159.0312772,2.619573411,28.1932761,54.72159617,0.443701044,0.019665178,0,1,1
1,1071.312826,877.9517844,128.3366755,2.477105305,54.11481341,75.0814928,0.044133113,0.001738949,0,1,0
1,469.3792609,543.3877521,70.87063017,1.609394116,33.34075898,37.40596582,0.340605765,0.016470713,0,1,0
1,965.2760376,723.0250031,90.72377227,1.542618852,25.2885376,46.56921224,0.263322489,0.011714558,0,1,1
1,1229.930706,1119.774417,84.39717014,0.374089772,43.17228569,59.78906936,0.41656005,0.018932501,1,0,0
1,605.9204638,272.0806801,187.2478513,1.387625991,37.265497,84.82266488,0.298361707,0.01286813,0,1,1
1,947.2830009,333.1230165,135.142188,3.387620194,26.94198185,37.00615712,0.435281699,0.019518154,0,1,1
1,719.407896,1091.333843,136.4369988,4.639671338,80.6562589,71.97437988,0.247252507,0.010885493,0,1,0
1,1037.137694,801.0921392,186.9744507,2.755710402,46.20329969,73.37982976,0.307532514,0.014494268,0,1,1
1,828.5982983,435.3779788,125.4882363,2.191964575,38.42312507,55.05149922,0.531649762,0.024765138,0,1,1
1,764.6846396,400.9261547,130.6386445,2.227426179,35.16336536,73.92129711,0.355581888,0.017103469,0,1,1
1,741.5442473,252.729438,165.4412669,1.921371666,33.30463032,51.59778837,0.031109053,0.001155896,0,1,1
1,951.8309714,406.5215843,132.9197773,2.700681844,27.7073825,53.64427247,0.434530101,0.018822538,0,1,1
1,1570.322107,1070.440031,91.46082099,1.810275404,30.03626577,64.60403733,0.381213379,0.016751399,1,0,1
1,644.6487995,707.2199863,90.50153766,0.518735889,14.80577168,40.53596183,0.084783723,0.004041635,1,0,0
1,283.5705645,337.8585771,129.6918846,1.149907158,26.71652146,57.59348905,0.346058239,0.017188137,0,1,0
1,490.8351662,483.1859904,163.4292176,0.815058346,11.11585981,60.56030844,0.001420455,5.06E-05,0,1,0
1,822.6240685,825.9357965,95.46913785,1.969889573,63.84017908,39.11204716,0.412414551,0.018944597,1,1,0
1,328.1839638,141.7462839,95.59009773,1.617336982,28.099495,49.45176014,0.905138838,0.038951816,0,1,0
1,1122.223803,827.422486,130.011772,1.719709306,33.64642564,44.79052094,0.439045516,0.020109887,0,1,1
1,1374.241225,1580.415664,90.1678082,3.27121099,37.52111239,50.2552341,0.001719916,8.43E-05,0,1,0
1,203.5807034,842.0807697,146.8296828,3.700140571,33.26297622,50.32860264,0.016894854,0.000789991,0,1,0
1,519.6851774,638.3770427,116.5588918,0.579131558,30.96193597,62.49554461,0.097452642,0.004357884,1,0,0
1,537.3198657,467.2635844,137.7579057,0.753613901,38.12583933,54.74220244,0.693366975,0.029651054,1,0,0
1,651.9753841,385.2128924,127.8218597,1.267749,35.96242396,50.37432803,0.319986224,0.013472302,0,1,1
1,1239.629726,707.2851826,189.7538102,1.548156151,29.21074301,53.62655451,0.227569422,0.009793047,0,1,1
1,1667.59874,1423.786235,116.7520993,9.902975511,37.38536416,53.46103432,0.52585241,0.023363047,0,1,0
1,1500.550634,1453.626912,53.25599256,0.509890203,13.85207257,53.72018907,0.577543218,0.026450938,0,1,0
1,852.2235368,441.6413153,153.0343672,1.449538929,42.369696,56.46420432,0.421982253,0.019267535,0,1,1
1,2834.922349,395.3632097,153.8390123,5.801876269,43.65284648,73.6871867,0.482406695,0.022606545,0,1,1
1,2007.794075,1426.128395,82.94925012,2.134517344,29.40046884,62.26252679,0.489825439,0.021978341,1,0,1
1,2697.056057,6700.683361,15.81312623,1.701973822,32.37722331,20.39613452,0.260633681,0.011465,1,0,0
1,2879.962252,1729.532384,74.02721485,6.051751685,48.56258725,76.28924189,0.558919271,0.02495552,1,0,0
1,735.2917316,1483.006433,55.02585826,0.615604608,21.1440735,39.53216297,0.099426091,0.004574221,0,1,0
1,1485.470388,1348.847689,34.94121534,2.210271945,93.33230781,18.23073484,0.752807617,0.032793873,1,1,0
1,1249.012094,1348.025321,49.43105897,0.953320848,25.91150956,30.23104602,0.504152538,0.022174154,0,1,0
1,1176.455289,1117.880622,77.02192612,3.183280362,42.52443234,50.03690667,0.350938305,0.015139021,0,1,1
1,1544.72118,963.2604564,73.8791608,1.808033173,118.1156841,32.61607551,0.447454637,0.02047078,0,1,1
1,1566.068756,626.2966499,111.6613449,2.799450634,52.50055393,61.12775149,0.523136481,0.022945585,1,0,1
1,870.8611047,1727.35202,94.48236073,1.133803945,15.76664975,103.5934679,0.002462885,9.94E-05,0,1,0
1,241.6824443,109.643888,187.7266999,0.704300682,19.20859819,42.5891014,0.315947815,0.014510082,0,1,1
1,956.2902029,928.8180889,107.6684923,0.997182771,25.78419189,78.21208055,0.813033353,0.036283819,0,1,0
1,1291.143796,1426.204426,47.59945205,0.819230172,31.10317599,31.89283551,0.430809508,0.019987491,0,1,0
1,334.3985868,221.8478827,165.6940728,0.764604202,35.2761146,56.64242011,0.449092742,0.019957819,0,1,1
1,1098.453692,192.4033938,179.6043211,1.623287919,17.26662923,70.11542341,0.307186276,0.015118891,0,1,1
1,2679.132707,320.3778452,179.2043458,3.827898365,30.64112634,39.98953447,0.502853985,0.022354093,0,1,1
1,1699.889494,1529.665683,53.14554935,1.788071345,24.08175545,41.20465684,0.64112854,0.028765964,1,1,0
1,1058.028635,326.1044523,174.0173291,2.489518537,38.19175317,70.69536641,0.598876953,0.026188051,1,0,1
1,969.2122472,784.8081352,105.4814483,1.240044061,31.23816107,70.49350251,0.445582491,0.019584373,0,1,1
1,5053.279944,2227.373899,120.2257653,8.988500732,22.84181217,67.15352011,0.367840485,0.017357884,0,1,1
1,580.1511981,263.6710776,136.6298935,1.083544599,19.6936186,63.72828861,0.358834448,0.015786969,0,1,1
1,969.9761805,501.7473663,93.36125074,2.255370582,49.44721458,57.33456948,0.391928675,0.018160532,0,1,1
1,1452.641486,453.8668732,149.7878306,2.817094652,62.64925363,99.46585344,0.484939575,0.023039598,1,1,1
1,1629.757361,1655.444541,76.05089041,0.39811833,38.68927727,37.11105924,0.0025177,9.46E-05,1,1,0
1,839.5816295,1201.775354,147.9059743,1.491905534,12.55982777,60.97526376,0.159699136,0.007439862,0,1,0
1,1040.705733,895.3797014,162.1335577,4.104935629,30.76301604,61.75021119,0.591701931,0.027284306,1,0,1
1,448.4190589,116.378748,190.1785544,1.680416768,41.00132129,65.3061104,0.283121566,0.013549766,0,1,1
1,640.4926792,658.180872,128.2959336,0.475884718,38.7556779,71.06037849,0.490976563,0.022009657,1,0,0
1,1358.940018,754.4814502,112.6548954,2.65255818,68.79628117,68.032541,0.542587996,0.024172514,1,0,1
1,106.2736315,102.6464777,190.9743315,0.176655006,23.94461348,85.91708314,0.403025339,0.017344222,0,1,0
1,493.7599884,493.5312106,116.3631841,0.1783677,16.57932033,22.77197996,0.385309751,0.017224294,0,1,0
1,1109.988825,610.7567973,82.43857509,1.853574385,46.74608699,33.62749929,0.443409223,0.019287256,0,1,1
1,1586.317489,1481.180832,120.8429937,3.696621267,32.11090101,49.97266495,0.557235308,0.023735936,0,1,1
1,1136.882582,809.962033,103.0080878,1.686900605,32.79283018,65.54884772,0.446920956,0.022083524,0,1,1
1,1374.493105,1943.646103,31.89727404,2.213186734,11.28091054,37.59426944,0.20390625,0.009942887,0,1,0
1,295.2882115,33.87975742,203.3194749,1.306256252,41.1779836,65.70027583,0.348935704,0.015675604,0,1,1
1,899.6072056,324.565012,139.8474873,2.177633721,51.73797786,79.23827245,0.43123172,0.019933797,0,1,1
1,631.8504504,738.229291,129.8761442,0.903157813,27.2248691,62.16208551,0.208205416,0.009219712,0,1,0
1,710.6411863,835.492033,60.60862663,1.556034153,2.543585324,32.93264775,0.149388288,0.006499609,0,1,0
1,554.0984357,473.884271,170.0320199,1.478008158,57.12733376,61.70376302,0.412927498,0.018247074,0,1,1
1,1385.103371,861.4681899,115.748402,1.829704839,54.1152432,81.34720188,0.225776486,0.010972418,0,1,1
1,854.4077351,356.8680015,170.6392113,2.257801759,20.42320352,86.23969336,0.44022552,0.020678589,0,1,1
1,558.7589044,1131.566687,52.4307659,0.521184674,16.78482804,19.79726834,0.173976089,0.007656917,0,1,0
1,713.838842,279.6202424,169.4495928,1.327139603,20.16942585,68.8839202,0.00784651,0.000278365,0,1,1
1,954.7073171,824.4775693,77.83872068,2.917211883,49.26427494,39.58117173,0.789733887,0.033880577,1,1,0
1,1072.623685,1176.096998,90.51660522,0.286057378,105.0264038,96.54390916,0.227838542,0.010051622,1,0,0
1,2810.354919,486.27365,143.5759746,3.945568445,34.08623732,76.97511262,0.225268054,0.011109377,0,1,1
1,279.8310816,325.8433021,149.4927671,1.077336582,28.51459021,58.31526499,0.150082632,0.006585076,1,0,0
1,1119.931739,1100.409679,93.33596914,0.930650816,32.16482878,72.03168255,0.588366997,0.025846813,1,0,0
1,444.0926382,2545.590242,121.6904323,5.662991387,65.38797556,92.72454905,0.178155048,0.00807843,1,0,0
1,1063.51497,426.2616342,122.958083,2.680919679,50.65579663,64.38395034,0.254595009,0.011722891,0,1,1
1,1119.996351,1091.230037,124.732756,1.629895485,42.37230919,55.08891145,0.002383583,0.000101154,1,0,0
1,1405.920352,1443.166412,85.43228385,0.859723073,32.96269806,63.37405988,0.39938151,0.017512934,1,0,0
1,1206.978482,1022.679217,98.69248887,1.248928086,16.37280699,77.99497284,0.265711379,0.012499656,0,1,1
1,1104.342238,704.8116721,116.9347549,2.276631828,12.2171526,72.0620275,0.337155651,0.014365416,0,1,0
1,602.8756204,235.271512,144.8446822,3.256816462,16.83321642,60.58405148,0.546875,0.025525762,1,0,0
1,756.0107052,651.01563,88.35256124,0.701455944,49.62583298,55.34956008,0.358396291,0.017518059,0,1,1
1,890.3601441,2002.802528,95.72885382,5.453686338,52.57046406,49.6873278,0.138808493,0.006363962,0,1,1
1,1743.349104,718.2013024,112.0691186,3.601303877,56.71884282,29.30455636,0.860325863,0.036812774,1,0,0
1,993.5293374,514.0662651,122.3235066,1.774287485,40.72141846,70.23783924,0.355865119,0.015724741,0,1,1
1,781.9974473,708.2629378,170.9114824,1.362527621,28.26641535,80.24266286,0.321964777,0.015626408,0,1,1
1,1144.859908,507.7827667,179.7110345,1.89364409,23.11981663,48.168686,0.397767857,0.01836815,1,0,1
1,653.1346029,1056.038881,138.9981633,3.622375982,18.62479335,66.43326223,0.093805949,0.004346406,1,0,1
1,408.3902894,960.8157286,96.294776,3.203611522,41.03408117,27.83008509,0.06519441,0.003024399,0,1,0
1,822.9002954,106.6703704,78.85926556,1.270229228,59.39542362,45.93175727,0.972223772,0.040630003,1,0,0
1,1844.626049,538.0061573,158.841446,4.710000846,39.92778122,56.80205751,0.517044271,0.022744218,1,0,1
1,411.5902582,407.1895844,102.5560492,0.504556001,74.39731478,84.43895152,0.00021765,8.89E-06,0,1,0
1,775.6714069,571.5057603,137.681284,1.123463077,38.44623398,59.69332174,0.000376157,1.70E-05,0,1,1
1,2236.713883,1068.757523,150.8905603,3.615409611,31.61184895,91.02372105,0.470239258,0.01989693,1,0,1
1,1249.157358,1117.328531,91.5140292,2.439826042,78.56269368,85.76545606,0.431382361,0.019844786,0,1,1
1,1160.620484,2458.712176,113.2035366,1.295555335,37.64386478,62.76870209,0.383865248,0.017473225,0,1,0
1,487.3620419,199.9864254,164.5209618,1.705953771,62.15216125,81.28834328,0.385455259,0.017672895,0,1,1
1,1629.225179,542.6719008,149.7687061,2.368648974,28.16597369,73.88474887,0.317153931,0.014678315,1,1,1
1,821.9812466,294.7788558,148.2760523,2.715227706,33.69157354,62.36327099,0.33974638,0.016577152,0,1,1
1,1064.105002,1135.731002,74.65452686,1.651983875,24.13923161,38.97058092,0.351024102,0.016648466,0,1,0
1,2771.764379,735.6363295,122.834893,5.141367234,51.23200434,66.00995798,0.410835266,0.018993086,1,1,1
1,444.0088542,428.8636311,93.98795976,0.62836006,39.71779149,35.65089051,0.638900981,0.02918831,0,1,0
1,1121.645035,1224.940375,31.77432868,1.149645159,13.19775264,13.9058869,0.279268237,0.01386517,0,1,0
1,1300.139548,411.1809142,164.6919081,2.105518068,53.49606864,95.66235805,0.357364599,0.015520062,0,1,1
1,238.6930787,236.2519245,193.9021559,0.15639863,20.69388792,79.68863645,0.352450284,0.015847789,0,1,0
1,280.5369428,283.5098595,137.7371055,0.343184249,16.21399509,77.02036503,0.293489965,0.013667018,0,1,0
1,477.402208,482.8614568,120.9219043,0.317617077,24.81022754,53.2169643,0.292890625,0.013634405,1,0,0
1,449.4643172,527.805851,128.701316,1.193795252,23.47940845,68.64832766,0.583788308,0.027073286,0,1,0
1,326.8798036,159.878321,163.6077747,0.581612904,26.73014446,74.08424814,0.31808465,0.015481019,0,1,1
1,953.4287255,1311.2485,89.9651312,1.634424476,54.39927474,57.03823836,0.130866663,0.005681846,0,1,0
1,1786.7642,354.2317671,134.0214912,3.669811006,33.53220491,58.04716716,0.372679228,0.017139565,0,1,1
1,3003.089637,1038.24555,109.1833513,4.142116286,32.41637745,51.20201707,0.589987833,0.025317021,0,1,1
1,766.6548731,549.1325797,120.2036588,1.50188582,41.77785738,70.01959635,0.334448433,0.016432025,0,1,1
1,2608.152397,1176.598296,89.79864787,6.320159562,49.18012629,37.21436779,0.531242488,0.02561576,0,1,0
1,225.2386717,213.3308975,136.3334986,0.291952054,40.76477785,66.80921433,0.688450521,0.030533798,1,0,0
1,632.6301905,475.4232741,122.0611336,1.602352153,19.33852779,79.57327691,0.411416167,0.018545286,0,1,1
1,1761.3505,362.1254547,166.8574563,3.421024329,71.64085339,63.72550708,0.350602872,0.016203477,0,1,1
1,448.0794749,432.115167,69.3985671,0.585110878,49.07149199,54.20355125,0.924635722,0.039397664,0,1,0
1,1297.504581,927.6227776,72.64546462,2.166452158,27.79383169,56.07544771,0.502800816,0.022006337,0,1,1
1,835.0804613,808.4898614,121.3868108,1.559813726,17.06987614,81.22263954,0.152515579,0.006855932,0,1,1
1,1565.716593,408.7024345,190.6141732,2.825719252,17.13988235,59.92854146,0.48884413,0.022576624,1,0,1
1,1230.021645,564.2434229,148.4788579,2.231964768,60.03782443,78.64520089,0.219467163,0.010608379,1,1,1
1,1082.156195,1055.281827,73.01433595,0.424842592,44.87242915,49.05714995,0.520256042,0.023472489,1,1,0
1,1337.697402,696.5508009,128.8215037,2.369806287,52.41474294,95.70307693,0.545346467,0.023528747,1,0,1
1,663.9724927,631.2912071,101.6986004,0.32770728,0.97256972,74.92576355,0.000367487,1.58E-05,0,1,0
1,763.7591293,414.2654503,176.8295944,1.702724278,27.52432143,59.83518301,0.357857176,0.016304365,0,1,1
1,916.7109913,643.1316715,132.6240548,1.491650764,31.9603555,78.86046009,0.349017519,0.016055775,0,1,1
1,550.155998,550.02634,179.3040388,0.214164477,37.20463914,77.88956371,0.127388426,0.00557435,0,1,0
1,1933.550977,490.5007205,190.7098212,3.178883633,26.29812592,67.59936807,0.322808802,0.014954861,0,1,1
1,454.0360039,7115.667587,139.9563748,11.60909645,17.87159273,61.4142327,0.058805673,0.002708485,0,1,0
1,517.0032714,608.6327416,139.039457,3.232644945,47.03010142,37.41987647,0.41860199,0.019187096,1,1,0
1,1325.395103,648.9473294,114.8853468,2.500677958,53.03740329,72.99884746,0.361642986,0.016372846,0,1,1
1,1427.837815,3300.382522,79.77115749,0.425300342,13.42104963,79.61134872,0.416984675,0.018496053,0,1,0
1,563.5647901,461.7652603,171.3779351,1.257452745,21.46282216,71.11708994,0.364289315,0.017354806,0,1,0
1,1932.313738,253.2228727,175.9909063,4.416746311,31.34561451,67.23432317,0.40565221,0.018576537,0,1,1
1,755.9301112,772.416136,104.6523944,1.041866683,30.51541824,33.38467563,0.001930214,7.85E-05,0,1,0
1,1832.891589,498.6534701,109.5370731,2.987971444,26.26330695,43.30488976,0.398448989,0.018820669,0,1,1
1,1810.741331,443.8153559,129.2502782,3.383651573,46.40967623,70.04759533,0.484063263,0.02121167,1,0,1
1,1273.51878,5755.477953,106.6354044,6.938076404,15.56646351,65.44726916,0.130558894,0.005780591,1,0,0
1,841.669851,936.8631171,104.7427475,1.428452004,57.81896076,81.09870083,0.149140109,0.00688804,0,1,0
1,2451.132953,1986.220206,142.2887187,5.56598807,23.33042371,59.59841596,0.352332549,0.016061702,1,0,1
1,2735.651367,754.3713378,138.5380754,6.340654312,70.84012247,64.53271918,0.473090278,0.020615987,1,0,1
1,1739.108248,1685.296127,41.42651651,0.44889896,28.02880297,32.66412695,0.95715332,0.040285857,1,1,0
1,546.9142701,534.5891854,135.3113764,0.398105402,34.50039798,52.47825828,0.000973062,3.51E-05,1,0,0
1,478.1921739,550.5505726,163.7634819,1.134774848,23.48264363,61.56918119,0.160839844,0.00756464,1,0,0
1,1667.572502,2882.653146,139.3521068,9.441754075,40.89716177,59.60240972,0.597514905,0.027769587,1,0,0
1,1033.577358,436.795138,159.9934086,3.107409368,29.36713781,46.65196685,0.581619263,0.025691072,1,1,1
1,457.0382751,325.2851946,171.5944466,0.904635159,37.18238877,73.48325682,0.218528217,0.009872233,0,1,1
1,1336.258937,832.655462,95.09412319,2.854265741,82.39873953,48.01633788,0.471997704,0.020421359,0,1,1
1,1057.540877,324.9348168,180.076126,2.941219557,55.42982769,67.25579207,0.393741689,0.018713486,0,1,1
1,1000.694452,451.6637318,187.8889122,2.901181307,21.85401913,52.9822238,0.390702242,0.018554403,0,1,0
1,961.3420882,958.8986358,113.877665,0.2893969,55.20483064,33.46320413,0.419549578,0.018218513,0,1,0
1,877.1533012,862.0175643,111.1127327,0.537727922,34.24695071,58.28173765,0.024815769,0.000985659,0,1,0
1,931.8106087,649.3299658,119.9943793,1.735187978,30.22622195,62.16509478,0.468258863,0.022481249,0,1,1
1,542.6236332,465.6084616,117.6886406,0.667506454,28.12098351,37.48778502,0.233616014,0.010980096,0,1,1
1,1089.253408,1448.561165,129.814651,4.641019307,36.97746331,51.57208199,0.362268249,0.016403551,0,1,0
1,871.0408742,270.5725096,174.6496288,1.645995231,16.88775561,72.81544374,0.341801975,0.016071432,0,1,1
1,2781.174865,299.7074675,177.8327472,6.97566048,43.86348871,56.03676534,0.485168457,0.020835258,1,1,0
1,482.9892348,459.2572504,122.7821897,0.44528095,53.57039567,83.22959928,0.608905743,0.027197786,1,0,0
1,1827.298912,1451.503926,69.34406842,3.748014877,69.58467456,82.96185288,0.267529297,0.011402966,1,0,0
1,724.723943,412.0808277,169.6975156,1.616354886,21.86858996,66.9382217,0.389968441,0.018537009,0,1,1
1,274.6920604,213.7991778,193.9603857,0.483680032,21.87152641,40.3721699,0.274318061,0.012332501,1,0,0
1,1192.93719,479.8133965,144.1875209,1.792238827,34.45226183,79.96502197,0.461506204,0.020916772,0,1,1
1,1880.93639,573.3103454,129.2672547,2.886181434,40.67561335,72.88049395,0.362678528,0.018021925,1,1,1
1,63.90140599,19.05679288,148.9595872,0.473557547,22.45786845,64.93451695,0.867507935,0.038201379,1,1,0
1,1425.220822,355.1045859,126.3928945,3.170867623,16.92136175,66.86699215,0.469854299,0.022124061,0,1,1
1,1094.283827,1093.373325,54.98565823,0.4783901,21.64667908,50.63997946,0.462231946,0.021481938,0,1,0
1,1223.971763,544.6964047,130.9230835,2.219914322,27.49762992,57.42861374,0.529221368,0.024768578,0,1,1
1,785.6616446,743.1760463,99.17025584,1.21419386,34.0433463,71.92418853,0.013746334,0.000667907,0,1,0
1,1409.172127,1634.436581,94.10133712,0.989937583,17.36158775,58.17306506,0,0,0,1,0
